word,label,x,y
mitmepalgelisem,0,28.658551881199998,-5.3997785629
teatraalsem,0,30.270993180700003,-10.861456396600001
valulikum,0,2.7720887908,-9.5587620972
materialistlikum,0,27.3644678853,-3.8358282223
laiem,0,28.989948694699997,5.4242579035
elevam,0,1.9269100068,-1.9747964521
sürrealistlikum,0,-18.047735278399998,-2.1822434259
üllatusterohkem,0,-19.9806257348,20.8970068193
ajamahukam,0,-23.4006371797,-0.623444003
muserdatum,0,59.5667094051,35.9508489067
rõõmustavam,0,-0.8437049643000001,-3.5930481412
noorem,0,4.7700320126,1.8942590611
vitaalsem,0,13.746388084100001,-3.3297918753
esinduslikum,0,-28.174207797399998,1.1281214416
muretum,0,13.689703209200001,8.9038136986
lagedam,0,38.6738621759,8.165790711
sitkem,0,18.9800054499,12.67360319
pillavam,0,7.1126724824,8.0390331577
andetum,0,-36.154452077600006,-0.3988193909
mõtestatum,0,54.6800282984,-8.0672767611
veerohkem,0,-27.1440558525,-0.9690036205
väljendusrikkam,0,26.4052026075,37.072117414000004
meisterlikum,0,-31.262607616300002,6.1781843402
nimekam,0,-9.2685870116,3.8385144701
lünklikum,0,29.0087375913,-7.0595109621
demagoogilisem,0,-13.135991420999998,-3.2398651344
vaguram,0,10.3634679735,16.726134886700002
perfektsem,0,-18.5781857989,-2.0663736942
minimalistlikum,0,41.982168320999996,-6.907543121900001
sisukam,0,19.8408750181,0.9312074363
vapram,0,-41.1510251636,-0.4434424074
teadmatum,0,4.1424024698,-5.0564711076
harivam,0,18.9604030496,-3.2571778253
läbipaistvam,0,31.8960603967,8.3645138343
päevakohasem,0,-11.9105195367,12.874204179100001
vaatajasõbralikum,0,5.5893655324,19.4115316397
ligitõmbavam,0,25.2101118259,-0.8678282166
kulukam,0,21.1768924587,2.5758785373
mägisem,0,27.366815410799997,-12.3006112279
tõsisem,0,19.7428351105,3.8851127872
kättesaamatum,0,56.7276787806,-22.0731359366
pealispindsem,0,17.6567148918,-2.9343116410000003
kentsakam,0,-2.2097664854,-7.8701695361000015
ebamoodsam,0,-14.4224937372,-1.6470289697
arhailisem,0,-1.0448942821,5.8595717919000005
ebaautentsem,0,50.0108602425,-3.5332604801
vastakam,0,-19.0157697683,-1.177060781
toksilisem,0,-2.4941542267,4.1812871152
asisem,0,37.740661202,-0.8723856701999999
surem,0,19.8253785128,-3.917613024100001
augem,0,1.2740156037,-1.558666947
nahaalsem,0,-11.5683815796,-16.75061807
rahulolevam,0,-16.1111840318,5.553122901799999
rahvapärasem,0,12.498973537000001,-2.7709696406
tühjem,0,39.603104665500005,1.875306144
varajasem,0,-17.7753502148,-3.570824964
inertsem,0,39.6595232892,8.5894309247
tulutoovam,0,-30.9695251825,1.5212392796
küpsem,0,39.4676092968,5.893943606900001
arhetüüpsem,0,-17.8667501335,11.5520057422
raskem,0,9.9292310153,2.0131212797
rohelisem,0,1.0827245706,5.2237614501
silmipimestavam,0,61.91812416720001,15.684719503299998
elulähedasem,0,23.1758676269,3.0232789324
ebaselgem,0,21.8971572904,4.4467376878
shokeerivam,0,-8.2067166603,-8.289281476900001
janusem,0,-22.006875015,-1.3095912287
rahvarohkem,0,-28.8136161141,-1.8164107865
alandavam,0,-21.4286717353,7.316412403099999
turumajanduslikum,0,-2.6982429535000003,-8.9456735645
ühesugusem,0,58.3289989042,-30.7724184308
tunnetatavam,0,35.4436812005,61.9043268337
kiiduväärsem,0,-8.8163929483,-3.6940166277
kindlakäelisem,0,54.2069025058,-5.8134492848
traagilisem,0,-8.997925629400001,0.2179187552
suhtelisem,0,5.9806102962,19.1146328626
siiram,0,-27.2845785485,-0.9507349342
näljasem,0,-10.3289663045,-3.4119251744
mitmesugusem,0,-32.8827272961,-1.1637440221
transparentsem,0,56.5597124721,-28.481804363200002
ladusam,0,28.1674845023,7.4428063676999985
ärevam,0,23.326461494,-4.8031939483
kiuslikum,0,-12.6489665628,-4.7508429712
impulsiivsem,0,53.001037216499995,-5.3108703529
ümbernurgalisem,0,48.7557446904,-3.5053397292
akadeemilisem,0,-21.0153213173,3.6933472908
karvasem,0,13.2352055097,-1.0465688769
kasulikum,0,-11.5017762774,7.4628555269
jonnakam,0,-12.1619417046,-6.261820808
kartlikum,0,-0.8847249976,-13.6881331514
kliendisõbralikum,0,-1.7084066414,-5.6998714937
interdistsiplinaarsem,0,55.6693722846,-12.748608470299999
eesrindlikum,0,-26.8998269021,2.4102900816
kergekaalulisem,0,58.186934209499995,45.1950148564
intensiivsem,0,12.3321777346,-5.6594112119
depolitiseeritum,0,49.5311579202,-3.7103902807
võimukam,0,-7.0793748665999985,-4.6874589937
vanaaegsem,0,19.9438013852,-4.8186273105
kasutum,0,-30.414385311700002,-1.4232591612
loogilisem,0,-14.7387268755,7.824783944
impersonaalsem,0,53.584457370500004,-6.073092942100001
väiksearvulisem,0,3.3014044486,-2.9686290706
triviaalsem,0,-32.2147368088,-0.3257986413
peresõbralikum,0,-16.3753782397,4.7623104382
irriteerivam,0,20.3997670988,-4.7980136168000005
ebatõenäolisem,0,-0.0926818002,-7.7667757976
kurvem,0,-3.0415246462,-3.3938202922000005
reserveeritum,0,56.34936859770001,12.680619950899999
vingem,0,1.8705401796,1.621741855
rohkem,0,54.6558218942,15.641314885
elusam,0,18.8260063302,6.0746307288
härdam,0,19.0026240552,-3.4741545451
politiseeritum,0,17.7550552868,-16.3437242887
kontrollimatum,0,20.4825881662,-7.5631633141
kohutavam,0,-19.4087891478,-2.4105781151
kontrastsem,0,28.9479965687,-0.0742945101
selgesõnalisem,0,58.0321683801,-6.8757477643
korrapärasem,0,47.6202432093,-5.5091617362
tapvam,0,-6.124549001,31.148836822899998
privaatsem,0,-0.7151447183,5.6293070766
kaljusem,0,59.4765821766,53.0293977162
markeeritum,0,58.871510267299996,38.4297164673
subtiilsem,0,57.0403895241,23.902827618200003
valitum,0,-14.3746394383,-1.3680186437
jäisem,0,30.980052633200003,-21.1342472576
kummalisem,0,-12.748002763699999,-6.6781232573
mõistvam,0,29.3139854179,10.8817054124
kitsam,0,28.9796877423,-3.6873765651
kuuldavam,0,32.2644913722,6.8704217959000005
nooruslikum,0,15.484373285799998,3.4753410317
saledam,0,18.4485811463,0.5620753305
pidulikum,0,12.827818260199999,-1.6052693678
iseseisvam,0,39.4570248558,13.1599280168
täiskasvanulikum,0,59.4038218113,53.424700764499995
väärikam,0,-3.4009756307,4.7327221511
internatsionaalsem,0,-5.4694172787,-11.2553825498
sirgjoonelisem,0,9.2655385576,7.360814292100001
liikuvam,0,39.889849522,19.960876966500003
värvikam,0,-7.1057713062,0.6674680708
paindlikum,0,44.5849830438,13.274140900499999
korporatiivsem,0,56.6983225391,39.448653067399995
maalilisem,0,6.5806598102999985,-4.7084847034
eksperimentaalsem,0,13.0407403789,-3.0767201975
räsitum,0,53.66005373260001,-5.2651278756
panoraamsem,0,58.4162892939,-28.887348424299997
hoolitsetum,0,24.787596252300002,21.076392534900002
puhtam,0,1.0174817581,9.4428938565
halvem,0,4.4789781624,-1.8161801314
inflatsioonikindlam,0,53.8827581037,-5.7265834728
mõjukam,0,-29.3919891598,-0.1948337454
üldrahvalikum,0,22.988406201999997,-20.3838300165
ootamatum,0,-22.1355191798,-3.8515021693
kärbitum,0,54.4460402494,-7.3936938312
õudsam,0,-26.0181406287,-9.8930321172
kinnisem,0,42.2978646614,0.7215658595000001
ebaromantilisem,0,2.6108585771,-1.9438759115
kevadisem,0,56.9689171911,-0.4588708619
ebamaisem,0,-5.2840679598,-12.0729592851
massilisem,0,-15.4612585931,-3.541942653
päikeselisem,0,13.299372141800001,-7.900823896699999
hukatuslikum,0,13.751813984000002,10.6680610853
pretensioonikam,0,23.104458487800002,-2.8105354956
tasavägisem,0,8.0988843606,-1.1637681105
nostalgilisem,0,18.9856049124,-4.5297934498000005
vintskem,0,-2.5409104715,-8.991065516399997
turskem,0,3.869349773,12.4440206041
riukalikum,0,21.9313799851,-8.2424543808
kangem,0,3.9990438801,-1.0533206012
muutlikum,0,-16.787234053,17.5165976965
kaalutletum,0,61.0277839798,31.4179153963
tulisem,0,-20.5651684156,-4.0833499292
hoolivam,0,-4.786847259,-2.0806086847
säästvam,0,4.5965298806,12.293062456
plastilisem,0,17.61028323,-2.3525642701
hardam,0,3.447203332,-2.577603547
sihikindlam,0,35.5862584013,-22.327468615500003
ühtlasem,0,16.664659358399998,8.7453111625
kohasem,0,-36.7925933121,1.2688004605
vaieldavam,0,-15.9469414892,-1.8215425652
õudsem,0,-9.8518761866,1.9254640787
tummisem,0,46.7811293454,1.0984862759
iroonilisem,0,13.4226080015,-2.1057572262
arem,0,-8.0069150216,-3.7076388211
vägivaldsem,0,19.2145854453,-4.7454093489
teadlikum,0,41.8574607108,16.0762726273
mehelikum,0,-4.2203178972,-0.6784094306
vallatum,0,-5.2998475424,-2.0478099115
võltsim,0,1.15904052,-1.569956834
haiglasem,0,3.2134164568,-3.6525862396
k6rgem,0,51.556775431700004,-4.5027537575
barbaarsem,0,-13.599457512799999,-1.5872867607
usaldatavam,0,-18.198156976,14.6858493479
melanhoolsem,0,53.388522254099996,-5.4289094752
mõistetavam,0,28.7003409126,8.0333122443
sõnaahtram,0,39.0439367931,2.56887743
energilisem,0,24.0132184271,10.0438578893
räigem,0,-0.6119387656,-1.3014607152
lähedasem,0,-16.3700317776,5.3420919805
nüüdisaegsem,0,-5.1174061923,-3.9511542896
oodatum,0,-31.7756674367,-0.2297117285
akuutsem,0,0.4541728937,-0.2067260081
negatiivsem,0,-3.9342230237,-4.5702619972
taltunum,0,48.5350313955,-3.4632533561
ebainimlikum,0,-13.555826408900002,-8.8284167192
tõsiseltvõetavam,0,-14.9047781578,6.029697156699999
tähenduslikum,0,26.0413982796,18.8673764722
aredam,0,57.4386587167,-15.039222537799999
hämaram,0,24.0726923049,-5.5865383786
vürtsisem,0,18.2816136968,-2.6781100145
ehmatavam,0,28.1363143456,-22.635403655700003
metalsem,0,20.0019949783,-3.5619139729
vastsem,0,-29.630580391,-8.178635629
ettearvatavam,0,28.4377584191,-4.0679720649
formaalsem,0,16.7738251659,-4.5072268707
mehem,0,0.4179643784000001,-1.5110320730000002
painavam,0,29.185407336199997,-7.7654647336
kõrvalisem,0,28.8996723051,-2.9557396224
kardetavam,0,-44.231281065,0.1556969512
põgusam,0,35.7040984783,-10.075572770800001
koordineeritum,0,23.5046310044,25.4609761006
ülekaalulisem,0,21.215321788900003,-8.3679567095
salakavalam,0,25.403423919899996,3.5399796583
veetlevam,0,-12.2037939596,18.1825326749
tontlikum,0,36.0008695132,-18.705117490899998
elektroonilisem,0,48.11434356189999,12.103993048800001
üheülbalisem,0,28.1665742825,-6.7321022683
kõrgtehnoloogilisem,0,20.9344750383,3.6861244597
filigraansem,0,27.7680886236,0.15862311199999998
suupärasem,0,16.773904510999998,7.8510089665999985
röövellikum,0,57.8656256069,-28.728476592600003
luterlikum,0,-14.157020682799999,-1.1648016703
vastuolulisem,0,-10.764427760899999,-8.4017011291
lootusetum,0,8.0648734716,-5.5513530252
haljam,0,54.119612116099994,-7.6985192913
ebaefektiivsem,0,-12.9385938678,-6.3631571744
hägusam,0,51.7482950083,-7.9365331245
krapsakam,0,-23.605771674299998,-0.590752808
päevakajalisem,0,0.6704639314999999,-10.375553101900001
kitsim,0,23.197091385100002,-8.27179743
kestvam,0,3.282127692,0.1688155976
mõeldavam,0,-26.374276703699998,-3.59975376
imepärasem,0,-27.9885623173,-8.95790676
prioriteetsem,0,-15.7598608796,-1.6695078299
saatuslikum,0,-15.388096680999999,1.9002615991
rikutum,0,55.907114824,-11.926627341700001
külgetõmbavam,0,5.171193155,19.7283954575
teisenäolisem,0,48.6552509105,-3.5430516683999995
utoopilisem,0,21.4498397766,-0.1477425631
napim,0,1.75755734,-3.1737685657
fantaasiarohkem,0,58.0351655124,39.0634441029
talvisem,0,55.2231662537,-11.9575478823
ettevõtlikum,0,-3.0565690178,-0.9751007801
vastavam,0,-22.7041743793,-0.9276772797
taibukam,0,14.292788121700001,-6.6735510842
mahedam,0,40.085267753000004,3.3396532546
lõpetatum,0,2.6507214949,-3.3132139708
hooletum,0,55.568255593800004,11.074000028199999
väärilisem,0,5.0504302662,19.042492670399998
naeruväärsem,0,-7.2682014764,-10.0232502654
sallivam,0,32.425053882600004,11.1017959816
hävitavam,0,-9.9191201342,-11.798866880699999
sisutihedam,0,41.3150799999,16.918260458800006
meeleolukam,0,-3.5746510803,-4.0625817516000025
piiravam,0,56.0940068151,3.522385716
kardinaalsem,0,-11.0054496176,-1.6507875864
käredam,0,-17.489614844000002,1.9427397284
abstraktsem,0,34.3900512669,0.4381329519
nutusem,0,19.627231212,-9.663392142100001
kunstlikum,0,-2.3057331864,-10.779388855
metafüüsilisem,0,54.251245302799994,-6.0720271191
värvilisem,0,29.5116825796,8.1734582072
säratum,0,20.2403419364,-3.7445172525
sogasem,0,45.9333477228,-11.9404853573
hägusem,0,55.489163016300004,-17.540834449600002
värvikirevam,0,22.522952923600002,15.597503356099999
defitsiitsem,0,-13.635405563399999,-2.3420578197
laiatarbelisem,0,-14.315515709000001,-1.7127890894
ebastabiilsem,0,26.1017562143,-4.0098644835
maisem,0,46.59601348970001,12.603664351900001
kõhukam,0,40.3911032836,22.762988305500002
eksklusiivsem,0,4.6610906351,-5.7101467398
resoluutsem,0,21.210170818399998,-3.2332087064
õppinum,0,2.2844304438,-2.2487013716
siivsam,0,-6.4677973639,-2.2209324969
tervam,0,2.2126489955,-2.6672168605
realistlikum,0,17.2024346848,2.1039912457
vaevarikkam,0,28.0803828823,-4.1614585608
huviäratavam,0,58.0917745631,-35.452731434499995
lühem,0,21.8652930221,-0.2061924063
ekstsentrilisem,0,20.6484147372,-3.8578708151
läbinähtavam,0,29.2007164939,8.2568273006
ebalevam,0,30.1036385008,-6.838845064299999
salajasem,0,-33.2968125233,-5.0574874917
hõlmavam,0,-18.6254665799,-3.0244696966
paljam,0,14.6973688901,-3.2212080991
idapoolsem,0,-43.3578514877,-1.6639289738
labasem,0,-26.963052686399998,1.0318811201
julmem,0,0.9693922118,3.3837954966000003
sõbralikum,0,7.7830815511,12.8422283228
raskepärasem,0,53.25444077109999,-4.9068006988
laisem,0,-3.5187590016000003,0.9933808591
natsionalistlikum,0,16.975000443800006,-24.1725116185
krobelisem,0,54.819011707,-5.9834796286000005
vindisem,0,56.0648745318,-8.6212190209
vaimuvaesem,0,19.0284488978,-4.1704827617
hiljutisem,0,-37.5115400706,-0.4158397982
dekoratiivsem,0,-7.9671202047,20.4220265214
mustem,0,-20.7230586863,-1.8462629631
romantilisem,0,-4.2290842316,1.3791118972
häirivam,0,-25.997897685399998,2.2068713889
suuremeelsem,0,54.2754700329,-6.9818641629
edukam,0,-21.594832628400003,-0.4073489851
vastandlikum,0,-18.5985881103,-2.4236725228
otsitum,0,-27.666421106399998,-0.8703347288
plahvatuslikum,0,12.199127121300002,-12.0311501584
nigelam,0,10.7965033291,-4.1513999758
omanäolisem,0,-30.0204304177,-0.4828464037
sobimatum,0,-16.6057640627,-3.1606116026
konkurentsivõimetum,0,35.2153237459,-8.8944971852
kauem,0,42.8986725201,-0.3034076855
puisem,0,31.5069563686,16.6866226798
läänemeelsem,0,-10.4911061178,-1.2674871531
individuaalsem,0,55.6948063564,1.0938073455
väljakutsuvam,0,-0.8739931745,-10.4382118226
ülekoormatum,0,-20.5994809853,-12.4646268495
rahvarikkam,0,-28.805630148600002,7.473821255800001
ühekülgsem,0,42.4246631935,-5.683045977999999
tumedam,0,33.867936128800004,-0.4149677275
hapukam,0,53.812003941,-5.3292857892
harmoonilisem,0,-19.6414198486,1.6951229630000002
kuumem,0,-24.7760057152,-2.0501188107
laiaulatuslikum,0,13.6224867378,-2.0608425930000003
vahvam,0,0.3163978241,11.9018112625
tillem,0,4.3478377492,-3.3753759544
kohmetum,0,-23.5806482293,-0.5813248232
struktuursem,0,55.282385004300004,-8.0274214668
kahtlasem,0,23.852243613200002,-5.1543577502
vihasem,0,1.8660511046,-3.899696794100002
hambutum,0,24.224363629299997,-9.7828533054
karastunum,0,-27.571324090700003,-0.5415422772999999
varjatum,0,4.807464062699999,3.7993016696
sapisem,0,48.4701654775,-3.4424076899
konkurentsivõimelisem,0,-21.4380492975,0.4960746285
arusaadavam,0,25.5432253192,11.4068125363
mõistuspärasem,0,55.253152184799994,-8.5992239817
pikantsem,0,27.502517582600003,-18.2645048579
maapealsem,0,53.866754031800006,-5.1322891318
masinlikum,0,57.797422973100005,38.2414629743
hermeetilisem,0,55.4606120381,-27.274614270100002
funktsionaalsem,0,42.3465091075,39.0241682176
lõdvem,0,48.9715435515,5.9679894721
äpum,0,56.3814263509,22.7894791111
ekstravertsem,0,29.3815117493,-4.340012463
lollim,0,-7.5392498849,-1.8507331582
operetlikum,0,21.4207963606,-6.8730770809
tunnustatum,0,-36.082753178699996,-2.723672082
mahajäänum,0,-28.4751649516,2.0595534503
üllam,0,-12.2570286396,1.9343543982
mõjuvam,0,-0.5662268361,0.7861988204000001
perverssem,0,-2.4424556991,-3.237562866
jaburam,0,-15.619123825299999,-5.5074146462
asjatundlikum,0,1.2609685602,1.277217299
vängem,0,12.9052774211,-0.8055810398000001
kummastavam,0,9.304550693300001,-17.5947499547
kurnavam,0,-6.6391432415999985,2.7168308632
tolerantsem,0,28.342245298,2.0722772439
proosalisem,0,54.2801945991,18.589620173
huvitavam,0,7.941073935499999,10.4346459254
andekam,0,-26.7055981468,1.7157645959
ülevaatlikum,0,3.2971512728,-0.7681381012
introvertsem,0,11.4217870468,9.5652906825
vastutustundlikum,0,3.6641548889,-4.2885834717
riskantsem,0,12.9768237536,3.2451029259
jässakam,0,52.625750801,-5.758774386900001
paljutõotavam,0,-37.6320516466,-0.0740977326
kulumiskindlam,0,59.1033361079,37.994790744899994
kommunistlikum,0,18.6123138905,-3.156268719
eestimeelsem,0,-16.906871181,7.567048774400001
tolmusem,0,-6.3545874014,-2.7557146603
kärmem,0,-5.562147615,-11.081412260799999
tuleohtlikum,0,-33.0151196668,-0.5797606397999999
reglementeeritum,0,49.743324565600005,-3.6035384643
üksikasjalikum,0,31.9038165704,-13.6595501099
katastroofilisem,0,22.9182209665,-15.067210447599999
diplomaatilisem,0,56.7808142349,18.9415480195
kaugeleulatuvam,0,-26.9237903777,-1.0325523531999998
põnevam,0,7.1500517339,5.863629900399999
patsiendisõbralikum,0,4.4334666348,-14.044228775599999
põhjendatum,0,4.4806739079,-2.5066786956
vahedam,0,11.5963068053,-16.6838121715
ebakvaliteetsem,0,-27.2367861887,-0.7950333316
rütmikam,0,51.902216193,-4.642314121
lohisevam,0,53.762091679099996,-7.4246143718
tülikam,0,28.8244852464,3.404148445
kesisem,0,19.9017555786,-0.9278318192
täiskasvanum,0,54.2016739212,20.731785251199998
jahedam,0,28.7272573654,-2.8469805681
halenaljakam,0,-16.9833927221,-9.8062814031
saastavam,0,-35.5467081911,-0.1150485955
üldistavam,0,-32.210894507,-6.9540667088
